State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Connecticut,"5,166","5,541","5,933","6,217","6,714","6,988","7,391","7,799","8,195","8,721","8,831","8,910","9,229","9,440","9,831","10,294","10,705","10,989","11,378","11,831","12,489"
Maine,"4,638","5,049","5,492","6,002","6,471","6,875","7,295","7,637","7,924","8,192","8,342","8,584","8,753","8,813","9,115","9,591","10,018","10,399","10,950","11,488","12,077"
Massachusetts,"5,171","5,608","6,118","6,599","7,012","7,479","8,055","8,617","8,974","9,361","9,533","9,720","9,952","10,085","10,394","11,010","11,490","11,746","12,215","12,729","13,319"
New Hampshire,"4,236","4,520","4,827","5,240","5,733","6,285","6,763","7,227","7,583","8,129","8,445","8,717","8,960","9,186","9,367","9,763","10,157","10,573","10,974","11,310","11,793"
Rhode Island,"4,772","5,141","5,564","5,992","6,446","6,986","7,326","7,717","8,048","8,343","8,460","8,665","8,859","9,016","9,484","9,914","10,159","10,290","10,464","10,988","11,694"
Vermont,"4,398","4,792","5,260","5,840","6,233","6,665","7,304","7,654","7,972","8,464","8,850","9,209","9,679","10,247","10,589","11,010","11,246","11,521","11,797","12,159","12,756"
Delaware,"4,752","5,062","5,518","6,144","6,577","6,946","7,301","7,721","8,107","8,385","8,802","9,202","9,446","9,768","10,263","10,714","10,933","11,444","11,771","12,213","12,899"
District of Columbia,"6,292","6,637","7,167","7,646","8,359","8,908","9,251","9,851","10,223","10,701","11,112","11,537","11,426","11,583","11,975","12,500","12,851","13,131","13,487","13,934","14,381"
Maryland,"4,227","4,592","4,986","5,385","5,724","6,075","6,560","6,945","7,226","7,518","7,744","7,928","8,110","8,217","8,574","9,001","9,321","9,592","9,934","10,248","10,839"
New Jersey,"4,732","4,990","5,405","5,698","6,007","6,457","6,760","7,138","7,353","7,756","7,815","7,970","8,337","8,534","9,008","9,483","9,979","10,340","10,665","11,264","11,868"
New York,"5,024","5,419","5,828","6,331","6,720","7,051","7,485","7,841","8,059","8,506","8,759","8,991","9,085","9,371","9,805","10,305","10,927","11,558","12,098","12,932","14,007"
Pennsylvania,"4,702","5,056","5,389","5,791","6,166","6,572","6,868","7,239","7,457","7,655","8,069","8,371","8,577","8,802","9,142","9,562","9,980","10,342","10,910","11,175","11,603"
Illinois,"4,166","4,448","4,786","5,077","5,344","5,679","6,042","6,467","6,629","6,859","7,159","7,300","7,505","7,695","8,017","8,300","8,630","8,849","9,118","9,496","10,190"
Indiana,"4,018","4,335","4,664","5,030","5,394","5,638","5,996","6,296","6,380","6,710","6,859","7,104","7,618","7,647","7,998","8,368","8,776","9,015","9,297","9,927","10,517"
Michigan,"4,050","4,297","4,576","4,895","5,261","5,564","5,979","6,318","6,552","6,824","7,089","7,345","7,579","7,693","7,967","8,372","8,707","8,940","9,142","9,532","9,897"
Ohio,"4,208","4,637","5,037","5,419","5,771","6,113","6,397","6,674","6,816","7,242","7,397","7,488","7,854","8,030","8,401","8,754","9,062","9,400","9,627","10,173","10,478"
Wisconsin,"4,314","4,744","5,085","5,411","5,766","6,139","6,553","6,883","7,148","7,441","7,605","7,825","7,906","7,984","8,371","8,654","8,809","9,019","9,244","9,652","9,982"
Iowa,"4,226","4,561","4,845","5,211","5,470","5,808","6,172","6,444","6,658","6,889","7,095","7,310","7,547","7,638","7,967","8,358","8,464","8,525","8,812","9,193","9,789"
Kansas,"4,225","4,532","4,839","5,138","5,456","5,758","6,026","6,349","6,570","6,727","6,803","7,071","7,385","7,240","7,368","7,634","7,845","8,060","8,381","8,745","9,408"
Minnesota,"4,506","4,880","5,312","5,675","6,000","6,328","6,673","7,045","7,227","7,532","7,801","8,013","8,242","8,533","8,919","9,163","9,540","9,782","10,174","10,510","10,846"
Missouri,"4,159","4,447","4,843","5,185","5,433","5,665","5,816","6,329","6,651","6,818","6,990","7,265","7,538","7,592","7,828","8,261","8,608","8,824","9,032","9,431","9,921"
Nebraska,"4,125","4,545","4,872","5,223","5,584","5,931","6,363","6,653","6,928","7,104","7,406","7,580","7,824","7,928","8,175","8,579","8,943","9,189","9,492","9,917","10,514"
North Dakota,"4,383","4,797","5,298","5,499","5,839","6,175","6,556","6,992","7,319","7,707","8,011","8,324","8,457","8,712","9,005","9,357","9,682","9,961","10,269","10,653","11,301"
South Dakota,"4,157","4,374","4,836","5,182","5,414","5,887","6,267","6,591","6,969","7,372","7,766","8,154","8,452","8,674","9,103","9,627","10,046","10,440","11,086","11,627","12,495"
Alabama,"3,921","4,158","4,513","4,995","5,238","5,546","5,768","5,942","6,100","6,322","6,406","6,513","6,797","6,969","7,277","7,657","7,968","8,154","8,343","8,741","9,280"
Arkansas,"3,709","4,008","4,355","4,618","4,879","5,238","5,462","5,757","5,985","6,223","6,378","6,541","6,773","6,819","7,284","7,620","8,079","8,409","8,545","8,853","9,338"
Florida,"4,445","4,724","5,021","5,327","5,671","5,954","6,298","6,608","6,856","7,118","7,269","7,375","7,609","7,603","7,965","8,330","8,519","8,814","9,148","9,490","9,865"
Georgia,"3,601","3,800","4,139","4,367","4,725","4,905","5,181","5,365","5,384","5,527","5,551","5,696","5,981","6,229","6,622","7,055","7,353","7,605","7,844","8,243","8,758"
Kentucky,"4,154","4,455","4,823","5,084","5,385","5,659","5,981","6,206","6,351","6,676","6,861","7,097","7,249","7,499","7,965","8,306","8,611","8,959","9,332","9,744","10,257"
Louisiana,"4,021","4,261","4,544","4,902","5,230","5,412","5,935","6,286","6,594","6,929","7,187","7,124","7,271","7,462","7,855","8,201","8,542","8,984","9,217","9,657","10,515"
Mississippi,"3,704","4,063","4,403","4,699","5,060","5,364","5,775","6,161","6,380","6,551","6,554","6,735","7,210","7,203","7,500","7,777","8,170","8,392","8,417","8,745","9,394"
North Carolina,"3,950","4,350","4,574","4,896","5,243","5,542","5,835","5,996","6,166","6,454","6,518","6,705","6,968","6,913","7,194","7,594","7,886","8,105","8,285","8,619","8,917"
South Carolina,"3,848","4,222","4,547","4,836","5,128","5,408","5,675","5,915","6,158","6,338","6,507","6,638","6,785","6,918","7,210","7,446","7,669","7,855","7,975","8,345","8,766"
Tennessee,"4,086","4,470","4,688","5,085","5,500","5,765","5,958","6,231","6,310","6,497","6,630","6,738","7,011","7,128","7,418","7,806","8,065","8,485","8,565","8,827","9,336"
Virginia,"3,661","3,850","4,194","4,550","4,877","5,178","5,484","5,803","6,098","6,414","6,548","6,790","7,045","7,192","7,449","7,750","7,987","8,176","8,425","8,826","9,195"
West Virginia,"4,458","4,872","5,250","5,628","6,013","6,385","6,707","7,089","7,311","7,748","7,920","8,210","8,712","8,891","9,385","9,947","10,488","11,017","11,337","11,951","12,769"
Arizona,"3,225","3,435","3,791","4,090","4,390","4,841","5,127","5,441","5,677","5,877","6,020","6,075","6,207","6,289","6,561","6,885","7,189","7,539","7,816","8,145","8,756"
New Mexico,"3,463","3,732","4,042","4,287","4,671","5,105","5,369","5,702","5,997","6,264","6,430","6,514","6,679","6,697","7,010","7,418","7,717","7,973","8,154","8,459","8,902"
Oklahoma,"3,754","4,093","4,358","4,755","4,961","5,366","5,688","6,039","6,372","6,514","6,664","6,937","7,212","7,316","7,658","7,902","8,132","8,382","8,625","8,923","9,444"
Texas,"3,639","3,924","4,251","4,445","4,660","5,046","5,275","5,497","5,741","5,973","6,111","6,259","6,475","6,510","6,825","7,217","7,393","7,572","7,711","8,028","8,406"
Colorado,"3,767","3,994","4,275","4,585","4,835","4,952","5,295","5,560","5,692","5,860","5,932","6,061","6,221","6,364","6,680","7,075","7,323","7,615","7,998","8,286","8,583"
Idaho,"3,372","3,631","4,004","4,253","4,474","4,793","5,060","5,314","5,448","5,668","5,909","6,052","6,283","6,377","6,615","6,843","6,974","7,257","7,444","7,723","8,148"
Montana,"3,855","4,197","4,477","4,802","5,055","5,440","5,759","6,102","6,345","6,637","6,919","7,150","7,461","7,703","7,942","8,344","8,680","9,030","9,354","9,808","10,212"
Utah,"3,027","3,285","3,619","3,873","4,158","4,428","4,635","4,863","5,021","5,099","5,133","5,280","5,474","5,554","5,825","6,112","6,398","6,628","7,008","7,193","7,522"
Wyoming,"3,964","4,275","4,706","5,003","5,282","5,686","6,154","6,560","6,796","6,943","7,244","7,482","7,749","7,845","8,269","8,652","8,976","9,496","9,787","10,111","10,989"
Alaska,"4,559","5,163","5,671","6,100","6,445","7,081","7,423","7,923","8,314","8,550","8,927","9,343","9,930","10,085","10,535","11,460","11,761","12,303","12,695","13,226","13,642"
California,"3,567","3,831","4,129","4,493","4,766","5,097","5,394","5,775","6,035","6,207","6,480","6,741","7,038","7,241","7,472","7,998","8,325","8,594","9,069","9,628","10,299"
Hawaii,"3,874","4,094","4,412","4,757","5,016","5,381","5,555","6,093","6,364","6,510","6,440","6,460","6,738","6,880","7,224","7,747","8,041","8,496","8,932","9,555","10,291"
Nevada,"3,392","3,674","4,072","4,376","4,667","4,911","5,152","5,436","5,614","5,695","5,788","5,973","6,056","6,259","6,723","6,987","7,377","7,642","7,892","8,114","8,348"
Oregon,"3,734","4,139","4,396","4,675","5,023","5,395","5,760","6,003","6,232","6,502","6,750","6,987","7,159","7,378","7,899","8,438","8,699","8,827","9,168","9,635","10,071"
Washington,"3,863","4,168","4,541","4,882","5,130","5,462","5,754","6,157","6,489","6,805","6,912","7,022","7,333","7,356","7,602","7,904","8,097","8,278","8,588","8,964","9,265"
